Year,Month&Quarter,Occ_rate,Occ_yoy,Guests_total,Guests_yoy,Total_vis,Vis_yoy,Thai_vis,Thai_vis_yoy,Foreign_vis,Foreign_vis_yoy,Rev_total,Rev_yoy,Rev_thai,Rev_thai_yoy,Rev_foreign,Rev_foreign_yoy,MotoGP,Covid,Marathon,PhanomRung_Festival,Football_Month,Football_date,Football_match
2568,กรกฎาคม,68.24,-8.82,"141,379",-13.99,"288,329",-16.19,"285,921",-16,"2,408",-34.12,622,-28.13,612.7,-28.2,9.6,-23.46,0,0,0,0,กรกฎาคม,19/7/2025,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2568,สิงหาคม,69.95,-4.73,"146,092",-7.98,"292,283",-12.04,"289,064",-11.89,"3,219",-24.19,671,-19.79,659,-19.86,12.3,-15.4,0,0,0,0,สิงหาคม,2/8/2025,บุรีรัมย์ ยูไนเต็ด - ฉาน ยูไนเต็ด
2568,สิงหาคม,,,,,,,,,,,,,,,,,,,,,สิงหาคม,3/8/2025,บุรีรัมย์ ยูไนเต็ด - อุทัยธานี เอฟซี
2568,สิงหาคม,,,,,,,,,,,,,,,,,,,,,สิงหาคม,10/8/2025,บุรีรัมย์ ยูไนเต็ด - ระยอง เอฟซี
2568,สิงหาคม,,,,,,,,,,,,,,,,,,,,,สิงหาคม,20/8/2025,บุรีรัมย์ ยูไนเต็ด - สลังงอร์ เอฟซี
2568,สิงหาคม,,,,,,,,,,,,,,,,,,,,,สิงหาคม,24/8/2025,บุรีรัมย์ ยูไนเต็ด - อุทัยธานี เอฟซี
2568,กันยายน,73.59,1.37,"147,238",1.98,"312,185",3.31,"308,234",3.45,"3,951",-6.55,786,3.2,772.29,3.39,13.54,-6.56,0,0,0,0,กันยายน,12/9/2025,บุรีรัมย์ ยูไนเต็ด - ประจวบ เอฟซี
2568,กันยายน,,,,,,,,,,,,,,,,,,,,,กันยายน,16/9/2025,บุรีรัมย์ ยูไนเต็ด - ยะโฮร์ ดารุล ทักซิม
2568,ตุลาคม,73.95,-17.31,"149,845",-28.59,"320,894",-26.99,"316,145",-26.97,"4,749",-28.15,790,-27.01,777.26,-26.99,13.16,-28.13,0,0,0,0,ตุลาคม,5/10/2025,บุรีรัมย์ ยูไนเต็ด - บีจี ปทุม ยูไนเต็ด
2568,ตุลาคม,,,,,,,,,,,,,,,,,,,,,ตุลาคม,26/10/2025,บุรีรัมย์ ยูไนเต็ด - ระยอง เอฟซี
2568,ตุลาคม,,,,,,,,,,,,,,,,,,,,,ตุลาคม,29/10/2025,บุรีรัมย์ ยูไนเต็ด - วารินชำราบ เอฟซี
2567,มกราคม,76.65,0.61,"154,909",5.61,"320,688",1.77,"315,012",1.3,"5,676",36.8,784.02,17.94,766.88,17.29,17.14,56.67,0,0,1,0,มกราคม,,
2567,กุมภาพันธ์,72.85,3.52,"148,312",21.44,"306,989",16.94,"302,068",16.81,"4,921",25.89,750.22,35.41,735.37,35.24,14.85,44.03,1,0,0,0,กุมภาพันธ์,14/2/2024,บุรีรัมย์ ยูไนเต็ด - สุโขทัย เอฟซี
2567,กุมภาพันธ์,,,,,,,,,,,,,,,,,,,,,กุมภาพันธ์,24/2/2024,บุรีรัมย์ ยูไนเต็ด - โปลิศ เทโร เอฟซี
2567,มีนาคม,71.1,0.54,"144,447",8.12,"298,932",4.14,"294,831",4.14,"4,101",3.88,730.13,20.55,717.76,20.58,12.37,18.71,1,0,0,0,มีนาคม,3/3/2024,บุรีรัมย์ ยูไนเต็ด - แบงค็อก ยูไนเต็ด
2567,มีนาคม,,,,,,,,,,,,,,,,,,,,,มีนาคม,13/3/2024,บุรีรัมย์ ยูไนเต็ด - อุทัยธานี เอฟซี
2567,มีนาคม,,,,,,,,,,,,,,,,,,,,,มีนาคม,31/3/2024,บุรีรัมย์ ยูไนเต็ด - เชียงราย ยูไนเต็ด
2567,เมษายน,75.01,0.53,"159,992",13.25,"321,305",11.27,"315,203",10.68,"6,102",53.74,715.89,21.81,697.59,20.99,18.3,64.72,0,0,0,1,เมษายน,6/4/2024,บุรีรัมย์ ยูไนเต็ด - ประจวบ เอฟซี
2567,เมษายน,,,,,,,,,,,,,,,,,,,,,เมษายน,24/4/2024,บุรีรัมย์ ยูไนเต็ด - ลำพูน วอร์ริเออร์
2567,เมษายน,,,,,,,,,,,,,,,,,,,,,เมษายน,27/4/2024,บุรีรัมย์ ยูไนเต็ด - เมืองทอง ยูไนเต็ด
2567,พฤษภาคม,71.4,1.3,"147,984",8.53,"297,118",6.64,"292,005",6.07,"5,113",53.5,661.58,16.75,646.25,15.95,15.33,64.48,0,0,0,0,พฤษภาคม,12/5/2024,บุรีรัมย์ ยูไนเต็ด - การท่าเรือ เอฟซี
2567,พฤษภาคม,,,,,,,,,,,,,,,,,,,,,พฤษภาคม,26/5/2024,บุรีรัมย์ ยูไนเต็ด - ขอนแก่น ยูไนเต็ด
2567,มิถุนายน,72.89,5.56,"155,963",23.32,"313,044",21.15,"308,359",20.71,"4,685",59.46,696.51,32.57,682.45,31.96,14.06,71.05,0,0,0,0,มิถุนายน,,
2567,กรกฎาคม,77.06,8.53,"164,375",24.21,"344,042",33.44,"340,387",33.36,"3,655",40.9,865.81,34.55,853.28,34.5,12.53,38.45,0,0,0,0,กรกฎาคม,16/7/2024,บุรีรัมย์ ยูไนเต็ด - พนมเปญ คราวน์ เอฟซี
2567,สิงหาคม,74.68,3.9,"158,762",17.91,"332,304",26.68,"328,058",26.59,"4,246",34.62,836.92,27.74,822.37,27.66,14.55,32.15,0,0,0,0,สิงหาคม,18/8/2024,บุรีรัมย์ ยูไนเต็ด - แบงค็อก ยูไนเต็ด
2567,กันยายน,72.22,3.3,"144,373",11.43,"302,195",19.73,"297,967",19.65,"4,228",25.46,761.43,20.72,746.94,20.67,14.49,23.21,0,0,0,0,กันยายน,1/9/2024,บุรีรัมย์ ยูไนเต็ด - นครปฐม ยูไนเต็ด
2567,กันยายน,,,,,,,,,,,,,,,,,,,,,กันยายน,17/9/2024,บุรีรัมย์ ยูไนเต็ด - วิสเซล โกเบ
2567,กันยายน,,,,,,,,,,,,,,,,,,,,,กันยายน,22/9/2024,บุรีรัมย์ ยูไนเต็ด - ประจวบ เอฟซี
2567,กันยายน,,,,,,,,,,,,,,,,,,,,,กันยายน,26/9/2024,บุรีรัมย์ ยูไนเต็ด - คายา เอฟซี
2567,ตุลาคม,91.26,1.8,"209,823",5.44,"439,530",4.07,"432,920",3.68,"6,610",37.71,"1,082.90",4.89,"1,064.59",4.54,18.31,30.41,0,0,0,0,ตุลาคม,17/10/2024,บุรีรัมย์ ยูไนเต็ด - อุทัยธานี เอฟซี
2567,ตุลาคม,,,,,,,,,,,,,,,,,,,,,ตุลาคม, 22/10/2024,บุรีรัมย์ ยูไนเต็ด - โปฮัง สตีลเลอร์ส
2567,ตุลาคม,,,,,,,,,,,,,,,,,,,,,ตุลาคม, 26/10/2024,บุรีรัมย์ ยูไนเต็ด - ลำพูน วอร์ริเออร์
